,Show ID,Show Name,Genre,TV-Rating,Description,Available on Hulu,Available on Netflix
0,80234414,100% Hotter,"British TV Shows, International TV Shows, Reality TV",TV-14,"A stylist, a hair designer and a makeup artist team up to give Britain's biggest fashion disasters some much-needed makeunders.",No,Yes
1,80098046,12 Years Promise,"International TV Shows, Korean TV Shows, Romantic TV Shows",TV-14,"A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea.",No,Yes
2,80117470,13 Reasons Why,"Crime TV Shows, TV Dramas, TV Mysteries",TV-MA,"After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.",No,Yes
3,80996791,13 Reasons Why: Beyond the Reasons,"Crime TV Shows, Docuseries",TV-MA,"Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why.""",No,Yes
4,80205593,1983,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,"In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.",No,Yes
5,80991872,1994,"Crime TV Shows, Docuseries, International TV Shows",TV-MA,"Archival video and new interviews examine Mexican politics in 1994, a year marked by the rise of the EZLN and the assassination of Luis Donaldo Colosio.",No,Yes
6,80175913,20 Minutes,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,"When his wife is convicted of murder, a horrified family man races to prove her innocence while a dogged investigator sets out to uncover the truth.",No,Yes
7,80212701,21 Sarfarosh: Saragarhi 1897,"International TV Shows, TV Dramas",TV-14,"In one of history's greatest last stands, a battalion of 21 Sikh soldiers fights to defend their outpost from attack by over 10,000 Afghans.",No,Yes
8,80215076,21 Thunder,"Crime TV Shows, International TV Shows, TV Dramas",TV-MA,"Players and coaches for a Montreal soccer team chase dreams of stardom while their personal lives erupt with love, fear, passion and violence.",No,Yes
9,80163409,28 Moons,"International TV Shows, Korean TV Shows, Romantic TV Shows",TV-14,"When her fiancé acts strangely upon receiving a mysterious invitation, a florist sets out to find out the truth behind the tiny scrap of paper.",No,Yes
10,80074220,3%,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",TV-MA,"In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor.",No,Yes
11,80179784,3Below: Tales of Arcadia,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",TV-Y7-FV,"After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters.",No,Yes
12,81040407,45 rpm,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",TV-MA,"In 1960s Madrid, music producer Guillermo Rojas launches a rock 'n' roll label with the help of aspiring singer Robert and clever producer Maribel.",No,Yes
13,80158301,46,"International TV Shows, TV Dramas, TV Mysteries",TV-14,"A genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect.",No,Yes
